Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE004439_1_Pasteurella_multocida_subsp__multocida_str__Pm70__complete_genome_BAC,fast,2.52,5985,50,34,7.13,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE005672_3_Streptococcus_pneumoniae_TIGR4__complete_genome_BAC,no growth,1.00,2146,50,26,6.76,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AJ938182_1_Staphylococcus_aureus_RF122_complete_genome_BAC,moderate,1.38,129021,50,48,1.69,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP010969_1_Streptococcus_intermedius_JTH08_DNA__complete_genome_BAC,moderate,1.34,9093,50,41,3.06,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC,moderate,1.90,1167,50,34,5.10,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002280_1_Rothia_dentocariosa_ATCC_17931__complete_genome_BAC,moderate,1.44,3084,50,42,4.17,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002843_1_Streptococcus_parasanguinis_ATCC_15912__complete_genome_BAC,moderate,1.60,5116,50,33,2.98,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002925_1_Streptococcus_pseudopneumoniae_IS7493__complete_genome_BAC,slow,1.25,4383,50,32,5.87,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020438_2_Streptococcus_equinus_strain_FDAARGOS_251_chromosome__complete_genome_BAC,slow,1.28,5277,50,30,4.99,[]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FN568063_1_Streptococcus_mitis_B6_complete_genome__strain_B6_BAC,failed,1.00,10688,50,27,10.70,[-5]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR720602_1_Streptococcus_oralis_Uo5_complete_genome_sequence_BAC,failed,1.11,3327,50,29,9.70,[-5]
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR821777_2_Staphylococcus_argenteus_MSHR1132_complete_genome_sequence_BAC,failed,1.00,5795,50,8,301.92,"[-2, -3, -5]"
Dundee028_S93_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR873482_1_Streptococcus_salivarius_JIM8777_complete_genome_BAC,failed,1.28,2647,50,21,6.36,[-3]
