Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE005672_3_Streptococcus_pneumoniae_TIGR4__complete_genome_BAC,no growth,1.06,7017,50,30,8.21,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE014133_2_Streptococcus_mutans_UA159__complete_genome_BAC,moderate,1.30,15515,50,47,2.44,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE014295_3_Bifidobacterium_longum_NCC2705__complete_genome_BAC,no growth,1.04,103667,50,40,3.72,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP010969_1_Streptococcus_intermedius_JTH08_DNA__complete_genome_BAC,failed,1.48,4253,50,20,10.22,"[-3, -5]"
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC,no growth,1.00,999276,50,49,2.28,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP012333_1_Parascardovia_denticolens_DSM_10105___JCM_12538_DNA__complete_genome_BAC,slow,1.27,16780,50,49,1.42,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP017894_1_Actinomyces_naeslundii_DNA__complete_genome_BAC,no growth,1.00,2341,50,26,8.80,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP017895_1_Rothia_aeria_DNA__complete_genome_BAC,fast,3.42,2204,50,26,5.50,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000023_1_Streptococcus_thermophilus_LMG_18311__complete_genome_BAC,slow,1.20,15833,50,27,6.47,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000057_2_Haemophilus_influenzae_86_028NP__complete_genome_BAC,slow,1.17,1138,50,36,3.47,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000387_1_Streptococcus_sanguinis_SK36__complete_genome_BAC,moderate,1.47,12060,50,33,4.66,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000413_1_Lactobacillus_gasseri_ATCC_33323__complete_genome_BAC,moderate,1.41,2085,50,37,4.43,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000725_1_Streptococcus_gordonii_str__Challis_substr__CH1__complete_genome_BAC,moderate,1.90,172468,50,42,2.47,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001682_1_Cryptobacterium_curtum_DSM_15641__complete_genome_BAC,no growth,1.00,2537,50,43,5.27,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001721_1_Atopobium_parvulum_DSM_20469__complete_genome_BAC,moderate,1.37,37297,50,32,5.48,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001750_1_Bifidobacterium_dentium_Bd1__complete_genome_BAC,slow,1.20,4457,50,42,3.20,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001820_1_Veillonella_parvula_DSM_2008__complete_genome_BAC,slow,1.16,1477,50,42,4.29,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002122_1_Prevotella_melaninogenica_ATCC_25845_chromosome_I__complete_sequence_BAC,no growth,1.02,1159,50,30,3.64,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002280_1_Rothia_dentocariosa_ATCC_17931__complete_genome_BAC,moderate,1.44,33213,50,48,3.10,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002743_1_Bifidobacterium_breve_ACS_071_V_Sch8b__complete_genome_BAC,failed,3.34,4254,50,6,22.29,"[-2, -3, -5]"
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002843_1_Streptococcus_parasanguinis_ATCC_15912__complete_genome_BAC,moderate,1.74,727568,50,39,2.19,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002925_1_Streptococcus_pseudopneumoniae_IS7493__complete_genome_BAC,slow,1.25,10542,50,31,5.90,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003800_1_Streptococcus_constellatus_subsp__pharyngis_C232__complete_genome_BAC,no growth,1.09,28372,50,32,5.09,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003860_1_Streptococcus_anginosus_C1051__complete_genome_BAC,moderate,1.38,26904,50,44,2.46,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP004409_1_Streptococcus_cristatus_AS_1_3089_chromosome__complete_genome_BAC,failed,2.05,9197,50,33,9.07,[-5]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP009761_1_Parvimonas_micra_strain_KCOM_1535__complete_genome_BAC,slow,1.13,14991,50,44,2.88,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012068_1_Eubacterium_sulci_ATCC_35585__complete_genome_BAC,failed,1.31,1220,50,14,347.70,"[-1, -2, -3, -5]"
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012072_1_Actinomyces_meyeri_strain_W712__complete_genome_BAC,moderate,1.71,26524,50,29,5.11,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP014232_1_Actinomyces_oris_strain_T14V__complete_genome_BAC,fast,2.10,2754,50,32,6.22,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020438_2_Streptococcus_equinus_strain_FDAARGOS_251_chromosome__complete_genome_BAC,slow,1.15,168788,50,33,6.51,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020566_1_Veillonella_atypica_strain_OK5_chromosome__complete_genome_BAC,no growth,1.06,8838,50,46,3.46,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP023863_1_Prevotella_jejuni_strain_CD3_33_chromosome_I__complete_sequence_BAC,slow,1.13,2389,50,32,8.05,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FN568063_1_Streptococcus_mitis_B6_complete_genome__strain_B6_BAC,moderate,1.57,26263,50,36,4.17,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR720602_1_Streptococcus_oralis_Uo5_complete_genome_sequence_BAC,fast,2.55,9592,50,28,6.16,[]
Dundee021_S36_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR873482_1_Streptococcus_salivarius_JIM8777_complete_genome_BAC,slow,1.17,239969,50,35,5.69,[]
