Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE005672_3_Streptococcus_pneumoniae_TIGR4__complete_genome_BAC,no growth,1.00,3004,50,31,7.89,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC,moderate,1.50,42807,50,47,2.84,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000057_2_Haemophilus_influenzae_86_028NP__complete_genome_BAC,no growth,1.07,56172,50,47,2.83,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000387_1_Streptococcus_sanguinis_SK36__complete_genome_BAC,moderate,1.68,2420,50,45,3.88,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000725_1_Streptococcus_gordonii_str__Challis_substr__CH1__complete_genome_BAC,moderate,1.63,5703,50,44,3.97,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001820_1_Veillonella_parvula_DSM_2008__complete_genome_BAC,no growth,1.09,2472,50,44,4.20,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002122_1_Prevotella_melaninogenica_ATCC_25845_chromosome_I__complete_sequence_BAC,no growth,1.06,6238,50,42,3.42,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002734_1_Pseudopropionibacterium_propionicum_F0230a_chromosome__complete_genome_BAC,no growth,1.09,1075,50,48,5.10,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002843_1_Streptococcus_parasanguinis_ATCC_15912__complete_genome_BAC,moderate,1.81,5858,50,37,3.34,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002925_1_Streptococcus_pseudopneumoniae_IS7493__complete_genome_BAC,moderate,1.46,5549,50,38,5.78,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP009761_1_Parvimonas_micra_strain_KCOM_1535__complete_genome_BAC,no growth,1.01,1370,50,37,4.19,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012072_1_Actinomyces_meyeri_strain_W712__complete_genome_BAC,failed,1.91,1428,50,23,5.17,[-3]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020438_2_Streptococcus_equinus_strain_FDAARGOS_251_chromosome__complete_genome_BAC,moderate,1.45,6225,50,31,5.15,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020566_1_Veillonella_atypica_strain_OK5_chromosome__complete_genome_BAC,no growth,1.00,1584,50,36,3.76,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP023863_1_Prevotella_jejuni_strain_CD3_33_chromosome_I__complete_sequence_BAC,slow,1.20,2772,50,42,3.20,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FN568063_1_Streptococcus_mitis_B6_complete_genome__strain_B6_BAC,moderate,1.48,10977,50,39,3.72,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FQ312002_1_Haemophilus_parainfluenzae_T3T1_complete_genome_BAC,slow,1.25,1885,50,46,3.84,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR720602_1_Streptococcus_oralis_Uo5_complete_genome_sequence_BAC,slow,1.14,11189,50,46,3.44,[]
Dundee022_S37_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR873482_1_Streptococcus_salivarius_JIM8777_complete_genome_BAC,moderate,1.31,4944,50,34,6.77,[]
