Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE005672_3_Streptococcus_pneumoniae_TIGR4__complete_genome_BAC,moderate,1.58,6826,50,32,4.70,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE014295_3_Bifidobacterium_longum_NCC2705__complete_genome_BAC,no growth,1.03,59970,50,41,4.46,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP010969_1_Streptococcus_intermedius_JTH08_DNA__complete_genome_BAC,failed,1.42,1107,50,31,4.57,[-2]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC,moderate,1.78,109769,50,45,3.08,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP017894_1_Actinomyces_naeslundii_DNA__complete_genome_BAC,slow,1.21,5192,50,34,5.74,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP017895_1_Rothia_aeria_DNA__complete_genome_BAC,moderate,1.33,1508,50,37,6.12,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000023_1_Streptococcus_thermophilus_LMG_18311__complete_genome_BAC,failed,1.15,5834,50,12,52.00,"[-3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000387_1_Streptococcus_sanguinis_SK36__complete_genome_BAC,moderate,1.89,18564,50,40,3.20,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000725_1_Streptococcus_gordonii_str__Challis_substr__CH1__complete_genome_BAC,moderate,1.44,60348,50,49,3.22,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001682_1_Cryptobacterium_curtum_DSM_15641__complete_genome_BAC,slow,1.13,4145,50,47,2.68,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001685_1_Leptotrichia_buccalis_DSM_1135__complete_genome_BAC,failed,2.41,1380,50,22,5.51,"[-2, -3]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001721_1_Atopobium_parvulum_DSM_20469__complete_genome_BAC,moderate,1.38,28805,50,36,5.21,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001750_1_Bifidobacterium_dentium_Bd1__complete_genome_BAC,moderate,1.44,5862,50,50,2.79,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001820_1_Veillonella_parvula_DSM_2008__complete_genome_BAC,moderate,1.31,8076,50,37,3.58,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002122_1_Prevotella_melaninogenica_ATCC_25845_chromosome_I__complete_sequence_BAC,no growth,1.00,2777,50,41,2.68,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002280_1_Rothia_dentocariosa_ATCC_17931__complete_genome_BAC,moderate,1.53,13574,50,49,3.00,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002637_1_Selenomonas_sputigena_ATCC_35185__complete_genome_BAC,slow,1.29,3946,50,48,3.85,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002743_1_Bifidobacterium_breve_ACS_071_V_Sch8b__complete_genome_BAC,failed,2.86,2480,50,6,10.12,"[-2, -3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002843_1_Streptococcus_parasanguinis_ATCC_15912__complete_genome_BAC,slow,1.18,1387226,50,44,3.38,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002925_1_Streptococcus_pseudopneumoniae_IS7493__complete_genome_BAC,slow,1.22,12389,50,39,4.84,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003800_1_Streptococcus_constellatus_subsp__pharyngis_C232__complete_genome_BAC,failed,1.03,12159,50,15,4.87,"[-1, -2, -3]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP004353_1_Corynebacterium_vitaeruminis_DSM_20294__complete_genome_BAC,failed,1.00,1263,50,23,-1.00,"[-1, -2, -3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP004409_1_Streptococcus_cristatus_AS_1_3089_chromosome__complete_genome_BAC,fast,2.14,13562,50,34,4.89,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012068_1_Eubacterium_sulci_ATCC_35585__complete_genome_BAC,moderate,1.38,6165,50,48,2.95,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP012072_1_Actinomyces_meyeri_strain_W712__complete_genome_BAC,moderate,1.75,47472,50,29,3.82,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP014228_1_Actinomyces_radicidentis_strain_CCUG_36733__complete_genome_BAC,failed,1.16,2028,50,13,13.73,"[-2, -3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP014232_1_Actinomyces_oris_strain_T14V__complete_genome_BAC,moderate,1.79,6225,50,36,4.40,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020438_2_Streptococcus_equinus_strain_FDAARGOS_251_chromosome__complete_genome_BAC,failed,1.00,79637,50,24,4.94,[-3]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020468_1_Actinomyces_gaoshouyii_strain_pika_114_chromosome__complete_genome_BAC,failed,4.06,1322,50,13,9.91,"[-2, -3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP020566_1_Veillonella_atypica_strain_OK5_chromosome__complete_genome_BAC,slow,1.11,21201,50,42,4.74,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP022413_2_Blautia_hansenii_DSM_20583_chromosome__complete_genome_BAC,failed,1.00,1666,50,15,755.29,"[-1, -2, -3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP023482_1_Dermabacter_jinjuensis_strain_32T_chromosome__complete_genome_BAC,failed,1.87,1412,50,10,224.73,"[-1, -2, -3, -5]"
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP023863_1_Prevotella_jejuni_strain_CD3_33_chromosome_I__complete_sequence_BAC,moderate,1.34,2764,50,35,5.67,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FM954972_2_Vibrio_splendidus_LGP32_chromosome_1_BAC,moderate,1.51,1639,50,35,4.65,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FN568063_1_Streptococcus_mitis_B6_complete_genome__strain_B6_BAC,moderate,1.77,30081,50,31,5.77,[]
Dundee024_S39_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR720602_1_Streptococcus_oralis_Uo5_complete_genome_sequence_BAC,slow,1.19,26915,50,46,3.58,[]
