Name,Growths,Growth Rate,#Reads,Initial Bins,Used Bins,Fit Err,Error Codes
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AE005672_3_Streptococcus_pneumoniae_TIGR4__complete_genome_BAC,failed,1.00,1501,50,25,9.60,[-5]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP010969_1_Streptococcus_intermedius_JTH08_DNA__complete_genome_BAC,failed,1.96,3010,50,18,7.63,"[-2, -3]"
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_AP011540_1_Rothia_mucilaginosa_DY_18_DNA__complete_genome_BAC,moderate,1.51,233187,50,50,2.73,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000387_1_Streptococcus_sanguinis_SK36__complete_genome_BAC,failed,2.24,1039,50,13,8.74,"[-2, -3]"
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP000725_1_Streptococcus_gordonii_str__Challis_substr__CH1__complete_genome_BAC,failed,6.64,1338,50,11,13.15,"[-2, -3, -5]"
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001721_1_Atopobium_parvulum_DSM_20469__complete_genome_BAC,no growth,1.00,2664,50,40,5.84,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP001820_1_Veillonella_parvula_DSM_2008__complete_genome_BAC,moderate,1.50,12919,50,40,3.71,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002280_1_Rothia_dentocariosa_ATCC_17931__complete_genome_BAC,moderate,1.44,15709,50,46,4.23,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002589_1_Prevotella_denticola_F0289__complete_genome_BAC,slow,1.20,1381,50,42,6.71,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002843_1_Streptococcus_parasanguinis_ATCC_15912__complete_genome_BAC,failed,1.13,21104,50,21,4.55,[-3]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP002925_1_Streptococcus_pseudopneumoniae_IS7493__complete_genome_BAC,moderate,1.66,2538,50,29,4.83,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP003860_1_Streptococcus_anginosus_C1051__complete_genome_BAC,no growth,1.05,12290,50,37,5.51,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP004409_1_Streptococcus_cristatus_AS_1_3089_chromosome__complete_genome_BAC,failed,1.76,1140,50,14,7.10,"[-2, -3]"
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP022386_1_Capnocytophaga_gingivalis_strain_H1496_chromosome__complete_genome_BAC,moderate,1.33,2471,50,40,2.71,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_CP024160_1_Collinsella_aerofaciens_strain_indica_chromosome__complete_genome_BAC,failed,1.00,1179,50,49,-1.00,"[-1, -2, -5]"
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FN568063_1_Streptococcus_mitis_B6_complete_genome__strain_B6_BAC,moderate,1.99,5626,50,34,4.54,[]
Dundee027_S92_R1.ndp.trm.s.mm.dup.mq30.calmd_1_FR720602_1_Streptococcus_oralis_Uo5_complete_genome_sequence_BAC,no growth,1.04,62902,50,37,4.12,[]
